iter	Passed	Remaining
485	678	717
486	679	715
487	680	713
488	681	711
489	682	710
490	683	708
491	684	706
492	685	704
493	686	702
494	686	700
495	688	699
496	689	697
497	690	696
498	691	694
499	692	692
500	694	691
501	695	689
502	696	688
503	697	686
504	698	685
505	699	683
506	701	682
507	703	681
508	706	681
509	708	680
510	709	678
511	710	676
512	711	675
513	712	673
514	713	672
515	714	670
516	715	668
517	716	666
518	721	668
519	722	667
520	724	665
521	725	664
522	727	663
523	728	661
524	729	660
525	730	658
526	735	660
527	753	673
528	754	671
529	756	671
530	758	669
531	759	668
532	761	666
533	762	665
534	764	664
535	766	663
536	767	661
537	768	659
538	769	658
539	770	656
540	771	654
541	772	653
542	773	651
543	774	649
544	776	647
545	779	648
546	781	646
547	782	645
548	783	643
549	784	641
550	785	640
551	786	638
552	787	636
553	788	634
554	789	633
555	793	633
556	794	631
557	795	629
558	796	628
559	797	626
560	798	624
561	799	623
562	800	621
563	801	619
564	802	617
565	803	616
566	808	617
567	810	616
568	811	614
569	813	613
570	815	612
571	816	611
572	817	609
573	822	610
574	823	608
575	824	607
576	825	605
577	827	604
578	828	602
579	829	600
580	830	598
581	831	597
582	832	595
583	835	595
584	837	594
585	838	592
586	839	590
587	840	589
588	841	587
589	842	585
590	843	583
591	844	581
592	845	580
593	846	578
594	848	577
595	850	576
596	852	575
597	853	573
598	854	571
599	855	570
600	856	568
601	857	566
602	858	565
603	859	563
604	860	561
605	865	562
606	867	561
607	868	560
608	869	558
609	870	556
610	871	555
611	872	553
612	873	551
613	874	549
614	875	548
615	879	548
616	880	546
617	881	544
618	882	543
619	883	541
620	884	539
621	885	538
622	886	536
623	887	534
624	888	532
625	888	531
626	890	529
627	893	529
628	894	527
629	895	525
630	896	524
631	897	522
632	898	520
633	899	519
634	900	517
635	901	515
636	902	514
637	903	512
638	905	511
639	907	510
640	908	508
641	909	507
642	910	505
643	911	503
644	912	502
645	913	500
646	915	499
647	916	497
648	918	496
649	921	496
650	922	494
651	923	492
652	924	491
653	925	489
654	926	488
655	927	486
656	928	484
657	929	483
658	930	481
659	931	479
660	932	478
661	935	477
662	936	476
663	937	474
664	938	472
665	939	471
666	940	469
667	941	467
668	942	466
669	943	464
670	944	462
671	945	461
672	946	459
673	948	458
674	949	457
675	950	455
676	951	454
677	952	452
678	953	450
679	954	449
680	955	447
681	956	446
682	957	444
683	958	442
684	959	441
685	961	439
686	963	438
687	964	437
688	965	435
689	966	434
690	967	432
691	969	431
692	970	430
693	971	428
694	972	426
695	973	425
696	976	424
697	977	422
698	978	421
699	979	419
700	980	418
701	981	416
702	982	415
703	983	413
704	984	411
705	985	410
706	986	408
707	987	407
708	989	406
709	990	404
710	991	402
711	992	401
712	993	399
713	994	398
714	995	396
715	996	395
716	997	393
717	998	392
718	999	390
719	1000	389
720	1001	387
721	1003	386
722	1004	385
723	1006	383
724	1007	382
725	1008	380
726	1009	379
727	1010	377
728	1011	375
729	1012	374
730	1013	372
731	1014	371
732	1015	369
733	1016	368
734	1018	367
735	1019	365
736	1020	364
737	1021	362
738	1023	361
739	1024	359
740	1024	358
741	1025	356
742	1026	355
743	1027	353
744	1028	352
745	1030	350
746	1031	349
747	1032	347
748	1033	346
749	1034	344
750	1035	343
751	1036	341
752	1037	340
753	1038	338
754	1039	337
755	1040	335
756	1044	335
757	1046	334
758	1048	332
759	1049	331
760	1051	330
761	1053	328
762	1054	327
763	1056	326
764	1058	325
765	1061	324
766	1063	322
767	1064	321
768	1065	320
769	1066	318
770	1067	317
771	1068	315
772	1069	314
773	1070	312
774	1075	312
775	1077	311
776	1079	309
777	1081	308
778	1082	307
779	1083	305
780	1084	304
781	1085	302
782	1086	301
783	1088	299
784	1089	298
785	1090	297
786	1091	295
787	1092	294
788	1093	292
789	1094	291
790	1095	289
791	1096	288
792	1098	286
793	1099	285
794	1100	283
795	1102	282
796	1103	281
797	1104	279
798	1105	278
799	1106	276
800	1107	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1113	266
807	1114	264
808	1116	263
809	1117	262
810	1118	260
811	1119	259
812	1120	257
813	1121	256
814	1122	254
815	1124	253
816	1125	252
817	1126	250
818	1127	249
819	1130	248
820	1131	246
821	1132	245
822	1133	243
823	1134	242
824	1135	240
825	1136	239
826	1137	238
827	1139	236
828	1140	235
829	1141	233
830	1142	232
831	1143	230
832	1145	229
833	1146	228
834	1147	226
835	1148	225
836	1149	223
837	1150	222
838	1151	220
839	1152	219
840	1153	218
841	1154	216
842	1155	215
843	1156	213
844	1157	212
845	1159	211
846	1160	209
847	1161	208
848	1162	206
849	1163	205
850	1165	203
851	1165	202
852	1166	201
853	1167	199
854	1168	198
855	1169	196
856	1170	195
857	1171	193
858	1173	192
859	1174	191
860	1175	189
861	1176	188
862	1177	187
863	1179	185
864	1180	184
865	1182	182
866	1183	181
867	1184	180
868	1185	178
869	1187	177
870	1188	176
871	1189	174
872	1191	173
873	1192	171
874	1193	170
875	1194	169
876	1195	167
877	1196	166
878	1197	164
879	1197	163
880	1198	161
881	1199	160
882	1202	159
883	1203	157
884	1204	156
885	1205	155
886	1206	153
887	1207	152
888	1208	150
889	1209	149
890	1209	148
891	1210	146
892	1211	145
893	1212	143
894	1213	142
895	1214	140
896	1217	139
897	1218	138
898	1219	136
899	1220	135
900	1221	134
901	1222	132
902	1222	131
903	1223	129
904	1224	128
905	1225	127
906	1226	125
907	1227	124
908	1228	122
909	1229	121
910	1231	120
911	1232	118
912	1234	117
913	1235	116
914	1237	114
915	1238	113
916	1239	112
917	1239	110
918	1240	109
919	1241	107
920	1242	106
921	1245	105
922	1246	103
923	1247	102
924	1248	101
925	1249	99
926	1250	98
927	1251	97
928	1252	95
929	1253	94
930	1254	92
931	1255	91
932	1256	90
933	1257	88
934	1259	87
935	1260	86
936	1261	84
937	1262	83
938	1263	82
939	1264	80
940	1266	79
941	1268	78
942	1269	76
943	1270	75
944	1271	73
945	1272	72
946	1273	71
947	1275	69
948	1276	68
949	1277	67
950	1278	65
951	1279	64
952	1280	63
953	1281	61
954	1282	60
955	1283	59
956	1284	57
957	1285	56
958	1288	55
959	1289	53
960	1290	52
961	1291	51
962	1292	49
963	1293	48
964	1294	46
965	1295	45
966	1296	44
967	1298	42
968	1299	41
969	1299	40
970	1300	38
971	1302	37
972	1303	36
973	1304	34
974	1305	33
975	1306	32
976	1306	30
977	1307	29
978	1308	28
979	1309	26
980	1310	25
981	1311	24
982	1312	22
983	1313	21
984	1314	20
985	1317	18
986	1318	17
987	1320	16
988	1320	14
989	1321	13
990	1322	12
991	1324	10
992	1326	9
993	1327	8
994	1328	6
995	1331	5
996	1332	4
997	1333	2
998	1334	1
999	1335	0
