iter	RMSE
127	5.123648119
128	5.118605987
129	5.111073959
130	5.105838441
131	5.098692245
132	5.092413908
133	5.087136879
134	5.077511908
135	5.072893764
136	5.067641332
137	5.062842921
138	5.058220375
139	5.05313532
140	5.044193513
141	5.034908156
142	5.027535466
143	5.022438844
144	5.016225517
145	5.011990502
146	5.007083832
147	5.003116679
148	4.996306811
149	4.99254133
150	4.989054834
151	4.983255177
152	4.979400743
153	4.976142511
154	4.967694858
155	4.964102333
156	4.959150127
157	4.950493915
158	4.943039487
159	4.939860812
160	4.935677432
161	4.928796208
162	4.924471875
163	4.919730347
164	4.91250271
165	4.90210769
166	4.899303282
167	4.894357726
168	4.889448852
169	4.886739966
170	4.881971886
171	4.878871351
172	4.873387828
173	4.869110532
174	4.86144216
175	4.855007324
176	4.849578341
177	4.846068054
178	4.840616045
179	4.836353044
180	4.830015707
181	4.82561487
182	4.822339225
183	4.816229344
184	4.813222208
185	4.809062815
186	4.805320748
187	4.799344347
188	4.794786572
189	4.791217685
190	4.788386147
191	4.78371247
192	4.781450393
193	4.778075167
194	4.775363269
195	4.771428798
196	4.769591154
197	4.765449522
198	4.760659277
199	4.755469841
200	4.751305719
201	4.74613286
202	4.74228704
203	4.740344894
204	4.736920435
205	4.734062199
206	4.731715154
207	4.728588802
208	4.724947154
209	4.7199548
210	4.718091098
211	4.716063624
212	4.714224061
213	4.713531362
214	4.709308358
215	4.702970862
216	4.69850639
217	4.693399542
218	4.689012311
219	4.685781341
220	4.682895342
221	4.675457775
222	4.673717861
223	4.66796126
224	4.664657176
225	4.662438059
226	4.660454475
227	4.655249615
228	4.652033732
229	4.647016316
230	4.645334563
231	4.639917142
232	4.637271104
233	4.629314146
234	4.627390624
235	4.624820749
236	4.620538965
237	4.617880017
238	4.615611002
239	4.610093142
240	4.607865741
241	4.604587452
242	4.603714753
243	4.602173869
244	4.599118041
245	4.592606239
246	4.590147825
247	4.587448447
248	4.581530029
249	4.576795625
250	4.572572662
251	4.571131755
252	4.564834493
253	4.56091144
254	4.554152668
255	4.545912243
256	4.541765951
257	4.538883182
258	4.534978446
259	4.531276413
260	4.529674704
261	4.525108817
262	4.520023134
263	4.513845655
264	4.513127245
265	4.509871075
266	4.506099125
267	4.504927057
268	4.497894799
269	4.493386766
270	4.49151442
271	4.490824078
272	4.486517123
273	4.485509041
274	4.478635858
275	4.476141616
276	4.47389577
277	4.470926914
278	4.465984122
279	4.462169451
280	4.454121613
281	4.453048966
282	4.448305637
283	4.44538271
284	4.444748871
285	4.441429175
286	4.439304577
287	4.431206801
288	4.430512668
289	4.429619628
290	4.4267443
291	4.42450129
292	4.417559487
293	4.414609808
294	4.406171939
295	4.40002785
296	4.399196885
297	4.393559612
298	4.389540858
299	4.385905506
300	4.385097212
301	4.38377915
302	4.380358106
303	4.37303847
304	4.369526346
305	4.363321831
306	4.36144972
307	4.354847006
308	4.352472989
309	4.346688804
310	4.343237072
311	4.340350164
312	4.333921122
313	4.330232529
314	4.32838479
315	4.323854013
316	4.322053685
317	4.315063493
318	4.310576801
319	4.307173161
320	4.306421463
321	4.301930471
322	4.296318941
323	4.292536859
324	4.28585978
325	4.278336336
326	4.271154999
327	4.267657725
328	4.263390188
329	4.258918732
330	4.257080894
331	4.253227555
332	4.245955597
333	4.244894649
334	4.243272233
335	4.238309594
336	4.235600207
337	4.229207272
338	4.226112706
339	4.225043188
340	4.224607115
341	4.223565557
342	4.221156199
343	4.216025145
344	4.211757058
345	4.211063947
346	4.207303205
347	4.203295029
348	4.20266981
349	4.199546031
350	4.197399649
351	4.196674325
352	4.190519914
353	4.185534852
354	4.181236034
355	4.177082121
356	4.172078436
357	4.167322871
358	4.160753887
359	4.15797125
360	4.153810828
361	4.149274528
362	4.148634197
363	4.148031909
364	4.146042091
365	4.141638955
366	4.137014803
367	4.130108824
368	4.128868242
369	4.12840523
370	4.125212124
371	4.123724441
372	4.119877678
373	4.114368022
374	4.112013827
375	4.108458484
376	4.10311947
377	4.099862365
378	4.095969525
379	4.095051444
380	4.093668934
381	4.087958241
382	4.083809477
383	4.079405368
384	4.078958707
385	4.074270819
386	4.068982879
387	4.066919195
388	4.063040347
389	4.059965604
390	4.056466413
391	4.052251448
392	4.049116984
393	4.046702367
394	4.043968668
395	4.037689325
396	4.034248821
397	4.030151804
398	4.026308025
399	4.02549331
400	4.024503944
401	4.022285786
402	4.020459724
403	4.019976123
404	4.015411374
405	4.012459384
406	4.008763792
407	4.00457713
408	3.999604683
409	3.998709615
410	3.995654005
411	3.991188181
412	3.987484525
413	3.987244546
414	3.983688234
415	3.978441912
416	3.975259443
417	3.972340676
418	3.970139142
419	3.966907249
420	3.963717401
421	3.960864992
422	3.960507096
423	3.958150017
424	3.953509954
425	3.952628182
426	3.949160789
427	3.945781176
428	3.943454593
429	3.939301114
430	3.9373499
431	3.932516134
432	3.92842631
433	3.92657866
434	3.922278344
435	3.920860587
436	3.917783045
437	3.914169768
438	3.912035
439	3.905571111
440	3.90276289
441	3.900306134
442	3.895991507
443	3.892639123
444	3.891188016
445	3.885916341
446	3.882899599
447	3.87783158
448	3.875181536
449	3.869035903
450	3.866716566
451	3.863131447
452	3.862380187
453	3.860271906
454	3.856522672
455	3.855160851
456	3.854193471
457	3.851968888
458	3.847181017
459	3.842780767
460	3.841515037
461	3.837572715
462	3.833847686
463	3.829554237
464	3.824694806
465	3.822882534
466	3.818246428
467	3.817360199
468	3.81442954
469	3.811816601
470	3.80683768
471	3.80610564
472	3.804661571
473	3.803941927
474	3.801799028
475	3.798376585
476	3.794183777
477	3.79296918
478	3.789433536
479	3.786880136
480	3.784456111
481	3.782507926
482	3.780285238
483	3.777418203
484	3.771566855
485	3.768556284
486	3.765686505
487	3.76216015
488	3.76150666
489	3.75960899
490	3.758430462
491	3.753599087
492	3.750950429
493	3.749390914
494	3.746518046
495	3.743886722
496	3.741298525
497	3.738798676
498	3.737880869
499	3.737206978
500	3.733696747
501	3.731672565
502	3.729621261
503	3.726132522
504	3.72240354
505	3.720959851
506	3.716738656
507	3.713112762
508	3.710772899
509	3.707220715
510	3.704346456
511	3.703757073
512	3.702014274
513	3.699013563
514	3.69502317
515	3.694868559
516	3.690349059
517	3.685560511
518	3.683717968
519	3.683233632
520	3.68154876
521	3.679692547
522	3.677546274
523	3.676980821
524	3.674682929
525	3.671792959
526	3.668452908
527	3.667898809
528	3.665105737
529	3.661562249
530	3.659842899
531	3.656907886
532	3.653549224
533	3.652858346
534	3.650019408
535	3.647263907
536	3.642816299
537	3.638631706
538	3.637051847
539	3.6351299
540	3.633746911
541	3.632064141
542	3.630192638
543	3.627103301
544	3.6259669
545	3.622567345
546	3.620517421
547	3.618905709
548	3.616304574
549	3.615505304
550	3.614911264
551	3.613401152
552	3.608273545
553	3.605438286
554	3.605057936
555	3.602876754
556	3.598734026
557	3.598578177
558	3.597333538
559	3.59438103
560	3.591606014
561	3.589148369
562	3.585314533
563	3.58431424
564	3.580886967
565	3.57693869
566	3.572514079
567	3.569804685
568	3.566717871
569	3.565756044
570	3.562943265
571	3.562261954
572	3.558620521
573	3.556312366
574	3.552650431
575	3.549624074
576	3.548030903
577	3.545652556
578	3.54354168
579	3.541285497
580	3.541040864
581	3.540046172
582	3.538673948
583	3.536688077
584	3.536460552
585	3.531786897
586	3.530392627
587	3.528537284
588	3.527142596
589	3.525846813
590	3.521671099
591	3.51683812
592	3.514255728
593	3.511784707
594	3.509387145
595	3.505752576
596	3.502425777
597	3.501829797
598	3.501128686
599	3.498561083
600	3.49674858
601	3.494986319
602	3.489345323
603	3.487535254
604	3.484670982
605	3.482935189
606	3.477965291
607	3.475706273
608	3.473977153
609	3.471471165
610	3.468174774
611	3.465040129
612	3.463263022
613	3.458996797
614	3.457404176
615	3.456072755
616	3.455877599
617	3.455266129
618	3.45389987
619	3.451221379
620	3.447640917
621	3.442378301
622	3.44218612
623	3.440192513
624	3.440072845
625	3.435895763
626	3.431952441
627	3.427752417
628	3.425946666
629	3.424369975
630	3.42177517
631	3.421154121
632	3.418341522
633	3.414231029
634	3.412541223
635	3.407815061
636	3.406636415
637	3.405530018
638	3.403613125
639	3.401252937
640	3.400238857
641	3.397564431
642	3.394172752
643	3.392867571
644	3.390328772
645	3.388954273
646	3.384479935
647	3.38216728
648	3.381662368
649	3.377650444
650	3.375634858
651	3.373992874
652	3.371881665
653	3.370229532
654	3.369786873
655	3.366852834
656	3.366277675
657	3.36215115
658	3.35848276
659	3.357310773
660	3.355572128
661	3.351763408
662	3.349560592
663	3.347879941
664	3.345562727
665	3.343774819
666	3.341550721
667	3.34111087
668	3.336335693
669	3.334831254
670	3.332600659
671	3.330188435
672	3.327622588
673	3.326808514
674	3.325759602
675	3.323188464
676	3.322151729
677	3.319917095
678	3.316481419
679	3.313542367
680	3.311914229
681	3.309325434
682	3.307859041
683	3.305235954
684	3.304519664
685	3.302969116
686	3.301715774
687	3.298466729
688	3.295793921
689	3.293524766
690	3.292126108
691	3.2910686
692	3.289983527
693	3.287861103
694	3.284661373
695	3.284110841
696	3.280737676
697	3.279361259
698	3.278135159
699	3.277954816
700	3.27610216
701	3.272329641
702	3.27131915
703	3.269162799
704	3.267346565
705	3.265084188
706	3.262633719
707	3.26039277
708	3.25944478
709	3.256763583
710	3.253034101
711	3.251299357
712	3.249482076
713	3.247016043
714	3.244137954
715	3.241949551
716	3.240514141
717	3.240167475
718	3.239795766
719	3.239078748
720	3.237043601
721	3.235089212
722	3.23329073
723	3.231367482
724	3.227681517
725	3.226541552
726	3.224455704
727	3.222932416
728	3.221539739
729	3.219408509
730	3.217330855
731	3.216543018
732	3.214125656
733	3.210439089
734	3.209133078
735	3.205535269
736	3.205017565
737	3.204216294
738	3.203268489
739	3.201320763
740	3.198641809
741	3.197657086
742	3.196859589
743	3.193632322
744	3.191819714
745	3.18880024
746	3.188359008
747	3.184816327
748	3.184395914
749	3.182592815
750	3.1804873
751	3.17924186
752	3.177390352
753	3.1734988
754	3.170512768
755	3.170234006
756	3.166443113
757	3.162939437
758	3.161215141
759	3.160326858
760	3.158631997
761	3.156861667
762	3.153425432
763	3.153058104
764	3.152706573
765	3.151708195
766	3.149196934
767	3.14744296
768	3.144567235
769	3.144201196
770	3.141561568
771	3.140240019
772	3.139120379
773	3.137913514
774	3.135460068
775	3.131749051
776	3.131605657
777	3.129546631
778	3.128479703
779	3.127247256
780	3.124002329
781	3.120759648
782	3.118202743
783	3.116266087
784	3.113243018
785	3.11123961
786	3.111099336
787	3.109735715
788	3.109605615
789	3.109470805
790	3.105981983
791	3.105857741
792	3.103965487
793	3.103126748
794	3.100509776
795	3.098582059
796	3.095159514
797	3.092884158
798	3.092084728
799	3.09092394
800	3.087543022
801	3.086141632
802	3.085009846
803	3.08399208
804	3.082886622
805	3.081513499
806	3.080462847
807	3.078298122
808	3.07800503
809	3.075343185
810	3.072361329
811	3.068298017
812	3.065872601
813	3.064302869
814	3.06334264
815	3.060995132
816	3.059938426
817	3.059089581
818	3.056908935
819	3.056700767
820	3.054709241
821	3.052917049
822	3.049822553
823	3.048732235
824	3.045954242
825	3.044353362
826	3.04191027
827	3.038685052
828	3.036088723
829	3.033604082
830	3.031878229
831	3.030208492
832	3.027358833
833	3.024352682
834	3.022708034
835	3.022581443
836	3.021922533
837	3.020700594
838	3.017346899
839	3.016494297
840	3.015289067
841	3.015173678
842	3.012899925
843	3.010260643
844	3.009871447
845	3.008202216
846	3.005137876
847	3.003370225
848	3.002052017
849	3.000543323
850	2.99864229
851	2.998445479
852	2.996921098
853	2.994814482
854	2.994203044
855	2.992415528
856	2.990238371
857	2.988030999
858	2.98686703
859	2.986230161
860	2.982846842
861	2.980388721
862	2.980196359
863	2.978390145
864	2.977340627
865	2.977224973
866	2.97396144
867	2.973406119
868	2.971250295
869	2.970503266
870	2.968845317
871	2.967679252
872	2.966016375
873	2.963942786
874	2.963097097
875	2.961599321
876	2.959288947
877	2.957668681
878	2.95524532
879	2.954812854
880	2.954043004
881	2.951643592
882	2.950510194
883	2.949737292
884	2.947277616
885	2.945493653
886	2.942672087
887	2.93807454
888	2.936599781
889	2.934685943
890	2.932147681
891	2.930110576
892	2.929542302
893	2.928736637
894	2.928619084
895	2.927130534
896	2.926282232
897	2.924564878
898	2.924146036
899	2.922371374
900	2.921827908
901	2.919108451
902	2.917160182
903	2.914541042
904	2.91372249
905	2.912233507
906	2.908889322
907	2.906638512
908	2.904644332
909	2.903836178
910	2.902772637
911	2.901126449
912	2.899040983
913	2.898983916
914	2.897856205
915	2.89366581
916	2.892404824
917	2.889828972
918	2.889723183
919	2.887381373
920	2.886226232
921	2.884793862
922	2.883922763
923	2.881748668
924	2.878738385
925	2.877057604
926	2.875393846
927	2.873508068
928	2.870616392
929	2.867669846
930	2.866428712
931	2.864632719
932	2.864382091
933	2.864239067
934	2.863790019
935	2.862371877
936	2.861452973
937	2.859175277
938	2.857772602
939	2.856975878
940	2.856369085
941	2.854125598
942	2.851529398
943	2.851440583
944	2.847622731
945	2.844712999
946	2.844419284
947	2.84170937
948	2.840980192
949	2.840033073
950	2.838608065
951	2.836176338
952	2.83354905
953	2.831764803
954	2.830333837
955	2.826381913
956	2.825916915
957	2.825790476
958	2.824999167
959	2.823039719
960	2.821686111
961	2.819602944
962	2.818102327
963	2.815444953
964	2.814213842
965	2.811517413
966	2.811110307
967	2.810151588
968	2.807821034
969	2.80602392
970	2.805249426
971	2.801649628
972	2.800158318
973	2.798814886
974	2.798732613
975	2.797203132
976	2.79634081
977	2.795342682
978	2.792385271
979	2.790250965
980	2.787505227
981	2.784804775
982	2.783184744
983	2.782567352
984	2.780561028
985	2.779457187
986	2.778624548
987	2.776978061
988	2.775281479
989	2.773346239
990	2.772078313
991	2.770273133
992	2.769557288
993	2.768070031
994	2.767576106
995	2.766824519
996	2.765640051
997	2.763448619
998	2.760067325
999	2.759976096
